content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,rank
content_0f96bf7b0be4,client_d4735e3a26,,,,,feedly article,,711.0,4945.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,2,1,1,0,0,0,296,181-365,5,20,0-30,<1000,<8000,50.0,0.0,0.0,0.0,0.0,low,top_3,new,,29.5
content_1c58d627d6cd,client_d4735e3a26,,,,,feedly article,,830.0,6267.0,,gpt-4o-mini,2,1,2,2,2,0,0,0,2,2,0,0,0,0,0,0,295,181-365,5,20,0-30,<1000,<8000,50.0,26.0,0.0,0.0,0.0,low,page_3_5,flat,,29.5
content_f03ce106b8b7,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,commercial,1078.0,7356.0,,gpt-4o-mini,2,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0,306,181-365,5,20,0-30,1000-2000,<8000,50.0,0.5,0.0,0.0,0.0,low,top_3,new,,29.5
content_3a16f4fb4fc6,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,3210.0,21224.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,2,1,1,0,0,0,249,181-365,5,20,0-30,2000-3500,15000-25000,50.0,0.0,0.0,0.0,0.0,low,top_3,new,,29.5
content_3fe045867a7a,client_d4735e3a26,,,,,feedly article,,907.0,6160.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,295,181-365,5,20,0-30,<1000,<8000,50.0,2.0,0.0,0.0,0.0,low,top_3,new,,29.5
content_1e826070c703,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,2771.0,18491.0,,gpt-4o-mini,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,249,181-365,5,20,0-30,2000-3500,15000-25000,50.0,0.5,0.0,0.0,0.0,low,top_3,flat,,29.5
content_9c8b317e8e1f,client_d4735e3a26,,,,,feedly article,,788.0,5672.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,1,0,0,1,1,1,312,181-365,5,20,0-30,<1000,<8000,50.0,3.0,0.0,0.0,0.0,low,top_3,stable,0.0,29.5
content_f7d530e80a2c,client_d4735e3a26,,,,,feedly article,,1040.0,7121.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,1,0,0,1,1,1,287,181-365,5,20,0-30,1000-2000,<8000,50.0,4.0,0.0,0.0,0.0,low,page_1,stable,0.0,29.5
content_166b50543317,client_d4735e3a26,,,,,feedly article,,1133.0,8385.0,,gpt-4o-mini,2,1,2,2,2,1,0,2,2,2,1,0,0,0,0,0,295,181-365,5,20,0-30,1000-2000,8000-15000,50.0,4.0,50.0,100.0,0.0,low,page_1,new,,29.5
content_5769debed5d9,client_d4735e3a26,,,,,feedly article,,760.0,5194.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,284,181-365,5,20,0-30,<1000,<8000,50.0,2.0,0.0,0.0,0.0,low,top_3,new,,29.5
content_c0af3d6f9dd3,client_d4735e3a26,,,,,feedly article,,906.0,6868.0,,gpt-4o-mini,2,1,1,1,1,0,0,1,2,1,0,0,0,1,1,1,302,181-365,5,20,0-30,<1000,<8000,50.0,3.5,0.0,100.0,0.0,low,page_1,down,-100.0,29.5
